Experiment_id,Temperature,Model,Initial_cost,Orientation_price,Buyer,Answers,Obs.,Configuration,Original,Original_count
TU_1_1_1_1,0.01,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,0.5,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,1.0,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,1.5,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '$5', '$10', 'The price', '$5', '$5', '$5', '$5', '$5', '$5', 'More than', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', 'Price:', '$5', '$15', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$6', '$5', '$5', '$5', ""I'll"", '$2', '7.', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$6', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$8', '$5', '$5']",95,1,"[68, 26, 3, 6]",31
TU_1_1_1_1,2.0,gpt-3.5-turbo,0,5,friend,"['$5', '$5', '98 dollars', 'Can |', 'Technical tools', '$5', '$7', 'Toy sher', '$5', '$5', '$8', 'I ask', '$0', '$5', '$5', '$555', '5', '$10', '$5', '$5', '$0', 'It may', 'Friend?', '$4', '$5', '$5', '$5', '$5', 'I would', '$5', '$5', '$0', 'Price:', '$5', '$10', '$5', '$5', '98.clientWidth', '$5', '(!$UN', '$5', '$5', '$5', '$8', 'no enforcement', '$5', 'The cost', 'I would', '$5', '$5', '8.', '--\n$', '$5', '$5', 'Six ç', '$8', '510', 'make Stub', 'Any price', '$5', '$2', 'More than', '$10', '$5', 'Same price', '$10', '$5', '$No', '$5', '$-content', '$5', '$5', '$5', '$5', '$5', '$4', '$5', '*$5', '581212', 'Bow493', '$5', '$Are', '$ such', '$5', '$5', '$5', '$5', '$5', '$5', '--\n$', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$', '$5', '$5']",68,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,0.01,gpt-4-1106-preview,0,5,friend,"['$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,0.5,gpt-4-1106-preview,0,5,friend,"['$5', '$0', '$0', '$5', '$0', '$5', '$0', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,1.0,gpt-4-1106-preview,0,5,friend,"['$0', '$0', '$5', '$5', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$5', '$0', '$5', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$5', '$5', '$0']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,1.5,gpt-4-1106-preview,0,5,friend,"['$0', '$0', '$5', '$5', '$0', '$5', '$5', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$5', '$5', '$5', '$5', '$5', '$0', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$5', '$5', '$0', '$5', '$5', '$5', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$0', '$5', '$0', '$5', '$5']",50,1,"[68, 26, 3, 6]",31
TU_2_1_1_1,2.0,gpt-4-1106-preview,0,5,friend,"['$0', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$5', '$5', '$0', '$5', '$0', '$5', '$5', '$5', '$0', '$5', '$5', '$0', '$5', '$5', '$5', '$5', '$0', '$0', '$5', '$5', '$0', '$5', '$0', '$0', '$0', '$5', '$5', '$0', '$0', '$0', '$5', '$0', '$0', '$0', '$0', '$0', '$5', '$5', '$5', '$0', '$0']",50,1,"[68, 26, 3, 6]",31
TU_3_1_1_1,0.01,llama-2-70b,0,5,friend,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,1,"[68, 26, 3, 6]",31
TU_3_1_1_1,0.5,llama-2-70b,0,5,friend,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,1,"[68, 26, 3, 6]",31
TU_3_1_1_1,1.0,llama-2-70b,0,5,friend,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,1,"[68, 26, 3, 6]",31
TU_3_1_1_1,1.5,llama-2-70b,0,5,friend,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,1,"[68, 26, 3, 6]",31
TU_3_1_1_1,2.0,llama-2-70b,0,5,friend,"['$10', '$10', '$10', '$10', '$$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$$10', 'I would ask for $10.', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', 'I would ask for $10.', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",46,1,"[68, 26, 3, 6]",31
TU_1_1_1_2,0.01,gpt-3.5-turbo,0,5,stranger,"['$10', '$5', '$5', '$10', '$10', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,2,"[6, 77, 10, 6]",31
TU_1_1_1_2,0.5,gpt-3.5-turbo,0,5,stranger,"['$10', '$10', '$10', '$10', '$10', '$5', '$5', '$5', '$5', '$5', '$10', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$5', '$10', '$5', '$5', '$10', '$10', '$5', '$10', '$10', '$5', '$5', '$10', '$10', '$5', '$10', '$5', '$5', '$5', '$5', '$10', '$5', '$10', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$10', '$10', '$5', '$5', '$10', '$5', '$10', '$10', '$5', '$5', '$10', '$5', '$5', '$10', '$5', '$5', '$10', '$5', '$5', '$10', '$10', '$10', '$5', '$10', '$5', '$10', '$10', '$10', '$10', '$5', '$10', '$5', '$5', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$10', '$5', '$5']",100,2,"[6, 77, 10, 6]",31
TU_1_1_1_2,1.0,gpt-3.5-turbo,0,5,stranger,"['$5', '$10', '$10', '$5', '$5', '$5', '$5', '$9', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$15', '$5', '$10', '$5', '$10', '$5', '$10', '$10', '$10', '$5', '$10', '$20', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$10', '$5', '$10', '$10', '$5', '$10', '$5', '$10', '$10', '$10', '$15', '$5', '$10', '$5', '$5', '$10', '$5', '$10', '$10', '$20', '$5', '$10', '$5', '$10', '$5', '$20', '$10', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$10', '$10', '$5', '$10', '$5', '$10', '$10', '$5', '$5', '$10', '$5', '$5', '$5', '$20', '$5', '$5', '$10', '$10', '$5', '$30', '$10', '$10', '$5', '$10', '$5', '$10', '$5', '$10', '$5']",100,2,"[6, 77, 10, 6]",31
TU_1_1_1_2,1.5,gpt-3.5-turbo,0,5,stranger,"['$10', '$10', '$10', '$15', '$6', '$2', '$50', '$6', '$5', '$10', '$5', '$5', 'I ask', '$20', '10.', '$5', '$10', '$15', '$5', '$5', '$5', '$2', '$5', '$25', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$50', 'I ask', '$10', 'Price:', '$10', '$10', '$15', '$25', '$10', '$10', '$5', '$5', '$15', '$10', '$20', '$10', '$5', '$80', '$15', '$15', '$5', '$10', '$10', '$20', '$5', '$7', '$15', '$10', '$15', '$10', '$5', '$10', '$10', '$5', '$5', '$20', '$5', '$10', '$10', '$5', '$10', '$5', '$10', '$8', '$10', '$5', '$10', '$5', '$10', '$10', '$10', '$10', '$10', '$6', '$10', '$20', '$10', '$10', '$5', '$10', '$20', '$10', '$10', '$7', '$10', '$15', '$10', '$20', '$15']",96,2,"[6, 77, 10, 6]",31
TU_1_1_1_2,2.0,gpt-3.5-turbo,0,5,stranger,"['IMA612', '$ Gal', 'They price', '$10', '$50', '$5', '$10', '$10', '$10', '$10', '$100', '$6', 'Neither User', '$25', '$3', '$10', 'Typically', '$10', '$19', '$10', 'Answer:', '$40', '$20', '$20', '34.', 'ThinkMem', '$7', '$7', '$5', '$\nAbort', '19.', '$10', '$10', '$5', '$5', '$5', '80folio', '$5', '$8', '($20', '$10', '$5', '$든', '$30', '$15', 'n/a', '$100', '$50', '$25', '$5', 'Provided', '$10', '$10', '$10', '$5', '$10', '$50', 'َAnswer', '$8', '$15', 'price/result', '$10', '$10', '$5', '$10', '$10', '$5', '$5', '$16', 'asking_questions', '$8', '$10', '$15', '?$7', 'Greater than', '$5', '$5', '6 drug', '$5', '$10', '$10', 'Let’s', '$10', '$5', '8.', '$15', '$7', 'I would', '$23', '$5', '$10', '$5', '$ Balance', '$10', '$5', '$5', '53.', '$5', '$10', '$1']",74,2,"[6, 77, 10, 6]",31
TU_2_1_1_2,0.01,gpt-4-1106-preview,0,5,stranger,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",50,2,"[6, 77, 10, 6]",31
TU_2_1_1_2,0.5,gpt-4-1106-preview,0,5,stranger,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",50,2,"[6, 77, 10, 6]",31
TU_2_1_1_2,1.0,gpt-4-1106-preview,0,5,stranger,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",50,2,"[6, 77, 10, 6]",31
TU_2_1_1_2,1.5,gpt-4-1106-preview,0,5,stranger,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",50,2,"[6, 77, 10, 6]",31
TU_2_1_1_2,2.0,gpt-4-1106-preview,0,5,stranger,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",50,2,"[6, 77, 10, 6]",31
TU_3_1_1_2,0.01,llama-2-70b,0,5,stranger,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,2,"[6, 77, 10, 6]",31
TU_3_1_1_2,0.5,llama-2-70b,0,5,stranger,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,2,"[6, 77, 10, 6]",31
TU_3_1_1_2,1.0,llama-2-70b,0,5,stranger,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,2,"[6, 77, 10, 6]",31
TU_3_1_1_2,1.5,llama-2-70b,0,5,stranger,"['$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10']",50,2,"[6, 77, 10, 6]",31
TU_3_1_1_2,2.0,llama-2-70b,0,5,stranger,"['$10', '$10', '$10', '$10', '$$10.00\n\nAs', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', 'I would ask for $10.', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '$10', '""$10""', '$10', 'I would ask for $10.', '$10', '$10', 'I would ask for $10.', '$10', '$10', '$10', '""$10""', '$10', '$10', '$10', '$10', 'I would ask for $10.', '$10']",43,2,"[6, 77, 10, 6]",31
TU_1_1_2_1,0.01,gpt-3.5-turbo,0,10,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,3,"[65, 26, 6, 3]",31
TU_1_1_2_1,0.5,gpt-3.5-turbo,0,10,friend,"['$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5']",100,3,"[65, 26, 6, 3]",31
TU_1_1_2_1,1.0,gpt-3.5-turbo,0,10,friend,"['$5', '$5', '$7', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$7', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$7', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$8', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5']",100,3,"[65, 26, 6, 3]",31
TU_1_1_2_1,1.5,gpt-3.5-turbo,0,10,friend,"['$5', '$0', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$7', '$5', '$5', '$5', '$5', '10.', '$5', '$5', '$5', '$5', '$5', '$8', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', 'A single', '$5', '$5', '$5', '$10', '$5', '$5', '$7', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '5.', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$5', '$10', '$5', '$5', '$8', '$5', '$5', '$5', '$5', '$5', '$8', '20.', '$5', '$5', '$8', '$5', '$5', '$5', '$10', '$5', '$5', '$10', '$8', '$7', '$5', '$7', '$5', '$5']",96,3,"[65, 26, 6, 3]",31
